gene_id,gene_symbol,chromosome,start_pos,end_pos
Gene_0,GENE0,chr9,75301,100624
Gene_1,GENE1,chr2,95574,122895
Gene_2,GENE2,chr9,75630,156193
Gene_3,GENE3,chr5,51306,196506
Gene_4,GENE4,chr12,67441,152449
Gene_5,GENE5,chr18,85816,142612
Gene_6,GENE6,chr21,41380,122805
Gene_7,GENE7,chr4,12994,164337
Gene_8,GENE8,chr14,46199,155269
Gene_9,GENE9,chr4,77938,197409
Gene_10,GENE10,chr20,18149,142558
Gene_11,GENE11,chr7,10118,113999
Gene_12,GENE12,chr20,60117,130055
Gene_13,GENE13,chr20,39371,121572
Gene_14,GENE14,chr8,52996,164893
Gene_15,GENE15,chr8,33245,121892
Gene_16,GENE16,chr6,83611,131928
Gene_17,GENE17,chr5,23510,178314
Gene_18,GENE18,chr21,80088,133990
Gene_19,GENE19,chr19,32475,181798
Gene_20,GENE20,chr19,89600,110372
Gene_21,GENE21,chr18,42269,148782
Gene_22,GENE22,chr11,68129,181274
Gene_23,GENE23,chr9,76794,197448
Gene_24,GENE24,chr1,55955,196319
Gene_25,GENE25,chr6,35756,138000
Gene_26,GENE26,chr15,65676,174031
Gene_27,GENE27,chr19,93992,166386
Gene_28,GENE28,chr9,30960,130356
Gene_29,GENE29,chr14,11883,164560
Gene_30,GENE30,chr22,42860,161199
Gene_31,GENE31,chr16,41785,127561
Gene_32,GENE32,chr20,13533,111002
Gene_33,GENE33,chr19,89093,187831
Gene_34,GENE34,chr8,38460,111065
Gene_35,GENE35,chr9,32228,121828
Gene_36,GENE36,chr1,16719,190276
Gene_37,GENE37,chr20,14212,163349
Gene_38,GENE38,chr7,1122,156319
Gene_39,GENE39,chr19,74129,199656
Gene_40,GENE40,chr12,47460,133948
Gene_41,GENE41,chr11,89937,128659
Gene_42,GENE42,chr2,34978,188976
Gene_43,GENE43,chr15,59250,152340
Gene_44,GENE44,chr4,82367,109641
Gene_45,GENE45,chr17,37620,147410
Gene_46,GENE46,chr16,57050,123881
Gene_47,GENE47,chr17,45214,145380
Gene_48,GENE48,chr20,67692,163852
Gene_49,GENE49,chr9,9089,181028
Gene_50,GENE50,chr3,64411,189771
Gene_51,GENE51,chr20,69413,137333
Gene_52,GENE52,chr10,61220,186354
Gene_53,GENE53,chr16,56785,156069
Gene_54,GENE54,chr5,9623,118653
Gene_55,GENE55,chr16,26747,145162
Gene_56,GENE56,chr1,33488,138815
Gene_57,GENE57,chr12,40287,100273
Gene_58,GENE58,chr4,85649,131372
Gene_59,GENE59,chr22,52071,171489
Gene_60,GENE60,chr6,7654,192394
Gene_61,GENE61,chr10,87014,184968
Gene_62,GENE62,chr15,51495,166045
Gene_63,GENE63,chr17,92935,161408
Gene_64,GENE64,chr3,23129,190209
Gene_65,GENE65,chr19,3368,185360
Gene_66,GENE66,chr12,98955,106921
Gene_67,GENE67,chr21,64302,105976
Gene_68,GENE68,chr17,89747,192137
Gene_69,GENE69,chr3,51250,163062
Gene_70,GENE70,chr3,19837,176246
Gene_71,GENE71,chr14,18497,129837
Gene_72,GENE72,chr1,31338,168873
Gene_73,GENE73,chr17,55100,103336
Gene_74,GENE74,chr7,13168,159139
Gene_75,GENE75,chr15,12143,132363
Gene_76,GENE76,chr10,69506,136339
Gene_77,GENE77,chr11,4209,103575
Gene_78,GENE78,chr14,45309,120505
Gene_79,GENE79,chr6,11859,135946
Gene_80,GENE80,chr22,15367,148489
Gene_81,GENE81,chr18,94922,198485
Gene_82,GENE82,chr7,45921,119494
Gene_83,GENE83,chr22,46326,166309
Gene_84,GENE84,chr10,91803,195303
Gene_85,GENE85,chr6,99086,140531
Gene_86,GENE86,chr4,12153,120553
Gene_87,GENE87,chr8,20585,153008
Gene_88,GENE88,chr19,29503,117187
Gene_89,GENE89,chr16,12508,124469
Gene_90,GENE90,chr18,82917,160097
Gene_91,GENE91,chr5,79796,143789
Gene_92,GENE92,chr13,39728,130092
Gene_93,GENE93,chr22,50475,163171
Gene_94,GENE94,chr2,20677,114417
Gene_95,GENE95,chr5,18151,181850
Gene_96,GENE96,chr3,14953,108033
Gene_97,GENE97,chr14,89665,169353
Gene_98,GENE98,chr8,23035,101397
Gene_99,GENE99,chr2,5113,130621
Gene_100,GENE100,chr11,47585,192723
Gene_101,GENE101,chr18,20555,187648
Gene_102,GENE102,chr2,11051,178093
Gene_103,GENE103,chr5,12652,127866
Gene_104,GENE104,chr7,15178,179115
Gene_105,GENE105,chr9,26469,189450
Gene_106,GENE106,chr3,54228,193450
Gene_107,GENE107,chr10,3651,121213
Gene_108,GENE108,chr15,63828,145862
Gene_109,GENE109,chr21,85755,183610
Gene_110,GENE110,chr12,33488,100804
Gene_111,GENE111,chr11,65004,103673
Gene_112,GENE112,chr17,33105,112371
Gene_113,GENE113,chr17,56679,199775
Gene_114,GENE114,chr18,84693,197581
Gene_115,GENE115,chr12,72720,160179
Gene_116,GENE116,chr20,29244,158599
Gene_117,GENE117,chr4,29787,191360
Gene_118,GENE118,chr13,35263,110466
Gene_119,GENE119,chr22,43929,109299
Gene_120,GENE120,chr6,7223,179756
Gene_121,GENE121,chr5,23979,170010
Gene_122,GENE122,chr10,86939,113338
Gene_123,GENE123,chr16,82738,134592
Gene_124,GENE124,chr1,18040,198454
Gene_125,GENE125,chr22,77388,126260
Gene_126,GENE126,chr9,34811,149225
Gene_127,GENE127,chr9,43722,177046
Gene_128,GENE128,chr17,21541,116581
Gene_129,GENE129,chr11,94659,124860
Gene_130,GENE130,chr4,24982,158931
Gene_131,GENE131,chr21,45565,174469
Gene_132,GENE132,chr13,66341,117049
Gene_133,GENE133,chr1,83379,197430
Gene_134,GENE134,chr12,59835,174227
Gene_135,GENE135,chr12,62030,155109
Gene_136,GENE136,chr15,11236,176400
Gene_137,GENE137,chr6,10320,100060
Gene_138,GENE138,chr18,2301,102222
Gene_139,GENE139,chr11,42615,161250
Gene_140,GENE140,chr19,44509,191397
Gene_141,GENE141,chr5,96388,161838
Gene_142,GENE142,chr16,83364,112674
Gene_143,GENE143,chr5,52179,102260
Gene_144,GENE144,chr5,52630,168955
Gene_145,GENE145,chr20,86324,148273
Gene_146,GENE146,chr17,51485,173955
Gene_147,GENE147,chr3,30400,169246
Gene_148,GENE148,chr11,26313,199274
Gene_149,GENE149,chr19,55353,123848
Gene_150,GENE150,chr11,72289,184849
Gene_151,GENE151,chr9,56450,111652
Gene_152,GENE152,chr12,33088,189868
Gene_153,GENE153,chr3,76106,149837
Gene_154,GENE154,chr4,6561,151981
Gene_155,GENE155,chr5,61672,155419
Gene_156,GENE156,chr19,15711,115427
Gene_157,GENE157,chr20,14107,116736
Gene_158,GENE158,chr2,68232,172877
Gene_159,GENE159,chr7,46943,148874
Gene_160,GENE160,chr14,77788,191158
Gene_161,GENE161,chr22,93241,151861
Gene_162,GENE162,chr17,59451,109085
Gene_163,GENE163,chr22,64309,159018
Gene_164,GENE164,chr18,45331,136635
Gene_165,GENE165,chr6,36066,181619
Gene_166,GENE166,chr5,9943,124998
Gene_167,GENE167,chr22,94300,162426
Gene_168,GENE168,chr19,46163,112808
Gene_169,GENE169,chr9,80546,123549
Gene_170,GENE170,chr7,60928,141138
Gene_171,GENE171,chr19,63151,133826
