peak_id,chromosome,start_pos,end_pos
Peak_0,chr7,98487,124319
Peak_1,chr6,90679,183425
Peak_2,chr19,82987,124933
Peak_3,chr16,93714,102249
Peak_4,chr13,26852,168873
Peak_5,chr16,17829,136050
Peak_6,chr11,32550,112685
Peak_7,chr9,35747,142340
Peak_8,chr3,83532,123644
Peak_9,chr4,66778,179753
Peak_10,chr14,54945,192390
Peak_11,chr2,7214,193282
Peak_12,chr16,86222,194621
Peak_13,chr6,63004,179760
Peak_14,chr13,3857,102753
Peak_15,chr7,76186,175785
Peak_16,chr22,69140,120379
Peak_17,chr8,56184,174669
Peak_18,chr10,82131,169601
Peak_19,chr9,70969,106244
Peak_20,chr1,49938,199238
Peak_21,chr8,20229,113638
Peak_22,chr16,48612,129710
Peak_23,chr4,99244,125091
Peak_24,chr19,62619,165576
Peak_25,chr9,96288,174994
Peak_26,chr4,8968,136065
Peak_27,chr10,83938,146619
Peak_28,chr13,14576,103210
Peak_29,chr18,64165,143386
Peak_30,chr10,50357,186432
Peak_31,chr12,87283,145303
Peak_32,chr6,95041,116565
Peak_33,chr5,2596,139198
Peak_34,chr3,64464,115552
Peak_35,chr19,65640,198948
Peak_36,chr10,95396,102023
Peak_37,chr20,41748,119571
Peak_38,chr3,77980,114702
Peak_39,chr2,89025,116139
Peak_40,chr7,17111,132934
Peak_41,chr3,44612,179473
Peak_42,chr17,22874,145480
Peak_43,chr19,59532,122033
Peak_44,chr4,46988,162644
Peak_45,chr17,36674,155451
Peak_46,chr9,7724,140523
Peak_47,chr14,69610,191299
Peak_48,chr4,1139,122378
Peak_49,chr6,14064,187868
Peak_50,chr3,95464,173139
Peak_51,chr15,50433,141629
Peak_52,chr10,36043,105007
Peak_53,chr20,34526,152916
Peak_54,chr2,15926,119393
Peak_55,chr15,11764,168446
Peak_56,chr16,21831,197722
Peak_57,chr16,70626,140379
Peak_58,chr13,4632,168831
Peak_59,chr20,20894,108394
Peak_60,chr21,42708,183304
Peak_61,chr20,59376,111395
Peak_62,chr19,21485,168765
Peak_63,chr3,84838,161763
Peak_64,chr16,82091,120859
Peak_65,chr11,28159,193593
Peak_66,chr22,58403,142685
